Rk,Team,Conf,W-L,BPI Off,BPI Def,BPI,Year
146,Elon,CAA,18-14,0.3,0.8,1.2,2017
147,George Washington,A 10,20-15,1.6,-0.4,1.1,2017
148,Siena,MAAC,17-17,1.4,-0.3,1.1,2017
149,Wofford,Southern,16-17,4.2,-3.1,1.1,2017
150,Penn,Ivy,13-15,-1,2.1,1,2017
151,Northeastern,CAA,15-16,1.2,-0.2,1,2017
152,Massachusetts,A 10,15-18,-2.5,3.5,1,2017
153,Georgia Southern,Sun Belt,18-15,1.4,-0.7,0.7,2017
154,Wright St.,Horizon,20-12,0.7,0,0.7,2017
155,Ball St.,MAC W,21-13,1,-0.3,0.7,2017
156,Marshall,C-USA,20-15,3.3,-2.7,0.6,2017
157,North Dakota St.,Summit,19-11,1,-0.4,0.6,2017
158,Boston College,ACC,23-Sep,-0.1,0.6,0.5,2017
159,South Dakota,Summit,22-12,-0.7,1,0.3,2017
160,Tulsa,American,15-17,-0.7,1,0.2,2017
161,Western Michigan,MAC W,16-16,1.4,-1.2,0.2,2017
162,Utah St.,MW,14-17,0.7,-0.6,0.1,2017
163,UAB,C-USA,17-16,0.4,-0.4,0.1,2017
164,Rice,C-USA,23-12,1.5,-1.4,0,2017
165,Arizona St.,Pac-12,15-18,3.9,-4,0,2017
166,New Hampshire,Am. East,20-12,-1.7,1.7,-0.1,2017
167,Evansville,MVC,16-17,-1.3,1.2,-0.2,2017
168,Loyola Marymount,WCC,15-15,-1.5,1.3,-0.2,2017
169,Northern Iowa,MVC,14-16,-4.1,4,-0.2,2017
170,Northern Kentucky,Horizon,24-11,0.5,-0.7,-0.2,2017
171,Jacksonville St.,Ohio Valley E,20-15,1,-1.2,-0.2,2017
172,Missouri,SEC,24-Aug,-2.6,2.4,-0.2,2017
173,Green Bay,Horizon,18-14,-1.9,1.7,-0.2,2017
174,Omaha,Summit,18-14,2.2,-2.5,-0.3,2017
175,Saint Joseph's,A 10,20-Nov,-1.6,1.3,-0.3,2017
176,Hofstra,CAA,15-17,4.2,-4.6,-0.4,2017
177,Samford,Southern,20-16,1.2,-1.6,-0.4,2017
178,Southern Illinois,MVC,17-16,-0.7,0.2,-0.5,2017
179,Boston University,Patriot,18-14,-1.2,0.6,-0.6,2017
180,Canisius,MAAC,18-16,2.5,-3.2,-0.7,2017
181,Eastern Washington,Big Sky,22-12,3.7,-4.4,-0.7,2017
182,Tennessee St.,Ohio Valley E,17-13,-3.2,2.3,-0.8,2017
183,Hawaii,Big West,14-16,-1,0.2,-0.8,2017
184,Washington,Pac-12,22-Sep,1.9,-2.7,-0.9,2017
185,Texas Southern,SWAC,23-12,1.3,-2.2,-0.9,2017
186,Texas St.,Sun Belt,22-14,-3.2,2.3,-0.9,2017
187,DePaul,Big East,23-Sep,-0.7,-0.2,-1,2017
